tag,helpful,weighted_vote_score,comment,date,minutes,early_access
not recommende,2,0.5454545617103577,"play COH2, really, this game here isn't worth the money at all and is just disapointing can't believe someone thought a HUD that take half your screen was a good idea the factions are not really balanced when you look at the poor nomber of different soldier for the british can't even tell its a COH game, with this round per round campaign",2024-10-30 15:29:31,46,False
recommende,2,0.5454545617103577,"J'ai eu peur au début en voyant le côté tour par tour du jeu, mais finalement il permet de jouer avec plus de liberté. Quand on attaque, les troupes alliés avoisinantes deviennent des supports.  j'ai joué à tous les Company of Heroes et je pense que celui est une vraie réussite, le meilleur peut-être.  Un seul regret ne plus pouvoir faire de groupes pour sélectionner rapidement une unité",2024-08-24 19:26:46,2373,False
recommende,2,0.5252448916435242,"Un jeu dynamique dans la lignée de Dawn of War (et pour cause). Venant de Starcraft j'ai été perturbé par le début de partie très rapide mais les nouveautés arrivent suffisament lentement au fil des missions pour que je m'y retrouve. L'ambiance est réussie, les combats sont fluides, les décors sont beaux.",2025-03-27 20:21:11,1645,False
recommende,1,0.523809552192688,"I played CoH2 as my introduction to the whole franchise when it went free in 2018ish on Steam and contrary to popular (dis)belief, this one is pretty good. The games are faster than my averages in the second opus and the game has a special Co-op vs AI mode for those who do not want to play PvP because of the toxicity or stress that it contains. The devs keep updating the game as the latest DLC proves. Overall a better game than it is said to be.",2025-02-25 17:33:49,4309,False
not recommende,1,0.5205479264259338,"J'avais beaucoup aimé le premier et le second (malgré ses nombreux défauts), mais je ne trouve aucun charme au troisième... Dommage. Il est fait un peu trop à la va-vite, la campagne d'Italie a un format vraiment agaçant quand on cherche surtout les combats habituels (sur le terrain et non sur une carte) et la campagne en Afrique du Nord est sympa sans plus (je ne suis pas allé au bout faute de passion...). Bref : pour ma part, de l'argent perdu. Vraiment déçu.",2024-12-20 20:25:02,277,False
not recommende,1,0.5205479264259338,"Le jeu ne comporte pas de réelle nouveauté, mis à part l'histoire de la campagne. Je joue principalement en escarmouche, et le gameplay, les bâtiments et les troupes sont identiques au premier opus, à quelques mini-détails près. Bref, aucune amélioration si ce n'est les graphismes, qui sont juste à la norme de l'année (2023).",2024-12-11 17:18:56,171,False
not recommende,3,0.5178459882736206,"Une pâle copie de COH2.  Des trailers prometteurs, de nouveaux modes de jeux (Qui ressemblaient beaucoup à Civilisation aux premiers abords), après la sortie, un cauchemar, une catastrophe.  Relic & SEGA nous prennent pour des cons.  Le pire dans l'histoire est de se rendre compte que les mods rendent le jeu bien meilleur et qu'une bonne partie des joueurs reste sur COH2.",2024-05-13 02:50:16,1477,False
recommende,0,0.5,Pour ma part c'est un bon jeu. Le multi reste l’expérience la meilleure. ATTENTION tres addictif !!!,2025-04-19 20:55:15,7557,False
recommende,0,0.5,Des petites amélioration simpa de l'interface plus claire et agréable comparer au 2 la campagne et bien mais sans plus j'ai bien plus adorer celle du 1 et 2,2025-04-15 17:29:49,24809,False
recommende,0,0.5,"J'avais testé le jeu à sa sortie... C'était compliqué  Là je peux assurer que le jeu est très bien, il manque peut être encore un peu de contenu mais c'est pas si mal que ça arrive avec le temps ; je pense que ça laisse respirer les devs pour équilibrer le jeu",2025-04-07 09:50:23,2721,False
recommende,0,0.5,Excellent jeu ! Fan depuis le premier ! Quand on aime la seconde guerre mondiale c'est le top !,2025-04-04 18:42:34,8522,False
recommende,0,0.5,Je ne comprend pas les critiques sur le jeu ayant joué à Coh et Coh 2 le jeu est tès bien.  J'ai bien aimé la campagne italienne avec son mode stratégique pour aller à la conquete de l'Italie. J'aurais aimé cependant pouvoir avoir encore plus de campagnes pour continuer à jouer ... Perso j'etais chaud pour aller jusqu'à Berlin ^^,2025-03-28 18:36:28,5730,False
recommende,0,0.5,le jeux est pas ouf vaux pas sont prix 60 e si vous voulez bon company of heroes le 1 et mieux ya un plus de vie dans ce jeux que dans le 3 dans le gameplay et dans la realisation du jeux le 3 et trop lent  pas vraiment plus de contenu dans le multi que dans lescarmouche le solo campagne ya pas de vie que des image des photo et une voix off anglaise or sur le 1 on a des perso qui bouge qui fait vivre la campagne avec une voix off francaise avec les axant et le 3 et trop linaire donc pour 20 e oui mais pas 60 e penser au premier jeux de la franchise et meilleur biz,2025-03-16 16:33:34,2873,False
recommende,0,0.5,"très beau jeu visuellement. Campagne sympa. Déçu du multi joueur, moins poussé par rapport au 2, ça a même rétrograder. Alors qu'il y avait moyen de faire un truc de dingue, une campagne multi.",2024-06-24 15:09:11,2190,False
recommende,0,0.5,Wargame tactique honorable aux graphismes soignés mais pas le meilleur de la célèbre licence. Une campagne trop linéaire.,2024-05-15 17:13:55,364,False
not recommende,2,0.4871794879436493,"putain de chintok, ils on complètements défoncer le game play une catastrophe quelle déception.",2024-12-12 10:19:49,23,False
not recommende,5,0.5774648189544678,"Le jeu est une coquille vide et ennuyant , le 1 avec le bk mod surpasse mille fois",2024-07-18 16:25:33,1896,False
