tag,helpful,weighted_vote_score,comment,date,minutes,early_access
not recommende,14,0.6049723625183105,"Le jeu offre de bons graphismes et dispose d’une large sélection de voitures. Cependant, les points négatifs sont nombreux :  - Les courses sont nulles. - Les IA ont toujours un indice de performance supérieur de 20 points au vôtre, ce qui signifie que vous pouvez    dépasser 3 ou 4 voitures au départ, mais ensuite, celles devant vous s’éloignent naturellement, car elles sont    tout simplement plus performantes. - Les IA sont catastrophiques : elles n'hésitent pas à vous foncer dedans si vous êtes sur leur trajectoire. - Le système de pénalité est totalement aléatoire. - Les développeurs ont abandonné le jeu : seulement deux nouvelles voitures tous les deux mois, et la plupart    du temps, ce sont des modèles recyclés des anciens opus. - Les IA ne subissent ni usure des pneus, ni consommation d’essence. Résultat : les longues courses sont à    éviter, car vous serez le seul à devoir passer par les stands pour ravitailler.  En résumé, si vous voulez faire des courses, passez votre chemin. Si votre seul intérêt est de tester des voitures sur des courses de trois tours sans plus d’ambition, alors ça peut être un bon jeu.  Ce jeu n’est plus sur mon PC depuis la sortie d’Assetto Corsa Evo, et j’en suis ravi. Il aurait pu être excellent, mais quelque chose a complètement gâché son développement.",2024-09-14 18:03:51,16390,False
recommende,9,0.6271186470985413,"J'aime les 2 Forza, Horizon & Motorsport, pour des raisons différentes.  Celui-là est en mode sérieux, et prend, en tout, le contrepied de FH5 : plus simu, plus posé, sans monde ouvert, sans harcèlement perpétuel d'appels téléphoniques,  ni de virées délirantes ou de défis arcade. A la place, des circuits du monde réel, des réglages, des essais, des paris sur la grille de départ et du championnat pur et dur. Le tout servi par des graphismes hallucinants (en ultra) une interface très classe. https://steamcommunity.com/sharedfiles/filedetails/?id=3230934117 Merci au studio Turn 10 pour son travail acharné et ses updates fréquentes (toujours en 2025). Merci à la communauté geignarde, plaintive et vindicative, toujours à se plaindre et râler et chouiner, ce qui a dû encore plus motiver l'équipe de développement. Au final, quoi qu'on en dise, qu'on qu'on en lise, Motorsport procure d'excellentes sensations de conduite dans un cadre très soigné.   C'est un plaisir à chaque session. Et lui ne souffre pas du syndrome de loading infini qui m'a fait désinstaller Horizon : )",2024-09-21 21:49:03,591,False
not recommende,6,0.5706221461296082,"Je ne pensais pas que le, jeu serais si mauvais, finalement il est pire que ce que je pensais, IA au fraises qui te fonces dessus et te font des défenses que même Mazepin ne ferais pas, manques de contenus (voitures, circuits, mode de jeu, etc), système de pénalité complètement rincé du cu, à oui et vous avez aussi des voitures que vous pouvez avoir uniquement dans un e période limité une fois passé vous puvez plus les débloqués, bref, si vous le voulez achetez le en promo à minimum -50%.",2025-03-29 12:18:36,2673,False
not recommende,4,0.5652173757553101,"Le gameplay est bon en soit. Le système de pénalité est à la ramasse.  Impossible de lancer des courses, chargement infini après le changement de voiture.  Contenu de la campagne vide et insipide.   Après MAJ le jeux est plus stable à voir sur le long terme",2024-10-12 14:49:26,7863,False
recommende,2,0.5454545617103577,"J'était mitigé entre les avis moyens et le possible loupé de la sortie du jeu. (En même temps y a des jeux qui sortent fini en 2024 ?) Personnellement je découvre un jeu de course très satisfaisant, beaucoup de super véhicules, de customisation, un nombre de circuit correct. Niveau graphisme, c'est propre (Mais gourmand), niveau pilotage c est simulation mais pas trop, de quoi se faire plaisir vraiment.  Je joue a la manette Xbox, et le rendu des vibrations dans celle ci est incroyable !! Sentir la gâchette de frein vibrer proportionnellement au freinage, j ai l impression de sentir le disque sous les plaquettes ! Top !  Je recommande pour ma part.  Edit : 120 heures après : J'avais oublié, possibilité de régler l'ensemble du véhicule, des courses Multijoueur, public avec véhicule verrouillé, ou libre (par catégorie), ou privé avec des amis. Je joue avec plusieurs amis, et nous préparons ensemble des véhicules pour apres nous contest, ou jouer avec en multi...  Je recommande toujours le jeu, surtout quand il est a -50%. A bientôt sur la piste :)",2024-05-10 04:01:35,799,False
not recommende,3,0.5433962345123291,Jeu acheté et remboursé dans la foulée car impossible de se connecter aux serveurs Forza à cause d'une compilation de shaders qui n'a pas le temps de s'effectuer avant la connexion. Ce problème existait il y a plus d'un an et n'a toujours pas été réglé. C'est tout simplement lamentable et je suis très mécontent de cet achat.,2024-11-30 23:30:06,45,False
recommende,2,0.5356472730636597,"Bon jeu mais beaucoup trop cher pour ce qu'il vaut vraiment.  Forza Motosport souffre de quelques défauts qui m'ont fait beaucoup grincer des dents en jeu, en particulier l'IA du mode carrière qui fait n'importe quoi en plus d'être super punitif si vous jouez avec les collisions simulées.  En dehors de l'expérience du mode carrière le jeu devient vite addictif. C'est un plaisir d'enchaîner les courses en multijoueur ainsi que de construire ses propres voitures.  Je recommande de donner une chance au jeu si vous voulez une expérience un peu casual pour du sim racing mais je trouve que le jeu est bien trop cher pour ce qu'il propose. 70 € c'est bien trop cher pour un jeu qui se contente de recycler les assets de Forza Horizon 5 avec les même circuits vu et revu d'un jeu à un autre.",2025-02-28 22:31:51,6555,False
not recommende,4,0.5271610617637634,"Bon, j'ai tenté et je n'y reviendrai pas. J'ai fait l'erreur de penser que ça pourrait être un GT7-like. Malheuresement non.  FM7 est bien un simcade, je ne m'attendais donc pas à un AC/ACC. Néanmoins la physique m' paru très linéaire d'une voiture à l'autre, je n'ai clairement pas ressenti ce que j'ai pu vivre avec des titres similaires. Et surtout ce qui m'a le plus déçu, la sonorité du jeu, très très peu de différence que cela soit entre les types de véhicules ou même la mise à niveau de l'échappement. La colorimétrie est aussi trés fade, on a l'impression qu'il fait gris en permanence même si il y a un temps clair, je ne demande pas non plus une saturation mais quand même. Bref en terme d'immersion c'est pas la folie et la campagne est très vite ennuyeuse.  Si vous souhaitez quand même vous laisser tenter, je vous recommande d'attendre une belle promo,",2024-09-01 16:23:21,2521,False
recommende,1,0.523809552192688,"Jeu plus abordable que les jeux dits ""simulation"". Je joue aussi sur asseto corsa et asseto corsa competizione. Après la session d'amélioration de conduite, forza motorsport apporte une réelle détente. Perso, ça reste un très bon jeu pour moi, où tout le monde peut réellement se faire plaisir. Je joue au volant.",2024-12-21 17:27:17,1187,False
recommende,2,0.523809552192688,Beau et varié avec des challenges renouvelés régulièrement. Conduite au volant assez poussé côté simulation.,2024-11-13 21:21:20,5860,False
