tag,helpful,weighted_vote_score,comment,date,minutes,early_access
recommende,7,0.6153846383094788,"Un jeu de survie vraiment très sympa qui mélange narration, exploration, construction et combat. La map est superbe et très cohérente, et l’immersion en mode tout petit dans un jardin est géniale !  Les graphismes sont jolis, avec de belles animations, et les insectes, variés et super bien faits, ajoutent une vraie ambiance au jeu. Le système de combat est très réussi et la difficulté bien dosée, ce qui rend la progression agréable.  En plus, le jeu tourne très bien et est bien optimisé (dans mon cas). Gros point fort également pour la physique des objets et de l’environnement.",2025-02-04 17:48:48,2871,False
recommende,6,0.6000000238418579,"grounded c'est LE jeu. foncez, tout est parfait sur ce jeu. tout. jamais j'oublierais mes heures dessus, et j'y retournerais encore et encore. dans ces moments ou la vie vous met a rude épreuves, ce jeu as su calmer ma colère, m'évader. <3",2024-11-01 21:17:27,9692,False
recommende,4,0.5652173757553101,"Que dire sur ce jeu ? Oh une coccinelle ! aaaaaaaaaaaaaaaaaaaaaaaaaahhh une araignée loup. Aaaaaaahhhhhhh une punaise !!! Wouaw qu'elle vue d'en haut.  Si vous aimez l'exploration ce jeu est fait pour vous, tout nous pousse à chercher, observer, peser les problèmes qui arrivent ou vont arriver. Le système de jeu est plutôt bien pensé et assez simple à prendre en main.  Vous êtes miniaturisés dans un jardin et votre quête consistera à retrouver votre taille normale.  Bien évidemment ce n'est pas si simple et le tout sera enrichi par une histoire et des cinématiques très sympa. Un jeu faisable en coop jusqu'à 4 joueurs. Je le recommande fortement, une expérience unique en son genre.",2025-03-20 22:58:33,11064,False
recommende,4,0.5652173757553101,"Ce jeu c'est le film Chérie, j'ai rétréci les gosses, vous êtes un enfant en 1990 qui a été rétréci et votre but est d’accomplir une  série de quête pour redevenir grand. Vous pourrez apprivoiser une fourmi comme dans le film. Il y a un savant fou comme dans le film.  Vous pouvez jouer en coop jusqu'à quatre joueurs. La prise en main est intuitive. C'est un jeu de survie où vous récoltez des ressources pour fabriquer des armes, des armures et construire des bâtiments. Les bâtiments sont modulaires, il y a plusieurs matériaux de construction (herbe, tige, brique de champignon) et des meubles et décorations pour les personnaliser. Vous explorerez des environnements variés dans un très grand jardin qui mesure 10 mètres de long, oui 10 mètres c'est très grand quand on ne mesure que 5 cm. Vous affronterez des insectes et des araignées.   Le prix de 40€ est correct et en promo à 20€ c'est encore mieux.",2024-11-28 20:02:41,26390,False
recommende,2,0.5560253858566284,"Superbe jeu d'aventure pour jouer en solo ou à plusieurs : le monde ouvert est tout simplement magnifique, le jeu lie à la fois de la construction, de l'aventure, une histoire et du combat pour plaire à tous !",2025-01-02 12:37:55,9002,False
recommende,3,0.5546558499336243,"Enfin fini et putain quelle dings quand même ! Une vraie pépite de jeu de survie. J'ai pu le faire à trois et que ce que j'ai kiffé, on n'a pas vu le temps passé. La construction est géniale, les combats sont incroyables avec plein d'armes d'hivers avec des builds de fou furieux (le pvp est horrible, je jouais maj...). Et l'exploration du jardin est tellement bien faite, on n'est jamais perdu dans ce qu'on doit faire tout est agencé parfaitement pour aider le joueur à s'y promener et s'y retrouver. On a eu des rires, de la rage et des sacrées frayeurs fasse à ses insectes. Foncé, c'est un jeu à faire dans la survie coop.",2025-01-27 22:36:00,5598,False
recommende,2,0.5454545617103577,"Jeu très agréable mêlant aventure, construction et combat.",2025-04-26 12:51:40,48749,False
recommende,2,0.5454545617103577,"Super jeu à faire en couple !  Les devs se sont éclatés et ça se sent. Tout est bien pensé.  Je recommande à 100%",2025-03-16 21:19:20,1709,False
recommende,3,0.5416666865348816,"se jeux est dinamique amusant avec beaucoup de contenue et une touche d'originaliter un jeux de survie bassique vous me dirait non je vous recommende grounded au plus haut poin meme si le prix est élever l'expresion ""sa vaut le cout"" est vraiment respecter",2024-08-28 20:01:31,11452,False
not recommende,2,0.541284441947937,"le jeu est formidable, mais depuis 1 an on ne peut pas jouer en coop, car steam ne se connecte pas a xbox network et peu importe le moyen ça marche plus, c'est cassé. UPDATE !!",2024-07-03 10:23:43,2756,False
