tag,helpful,weighted_vote_score,comment,date,minutes,early_access
not recommende,13,0.6450867056846619,"[h1][b]Un gros gâchis[/b][/h1] [i]Halo Infinite[/i] prouve qu'un gameplay efficace ne suffit pas quand le reste ne suit pas. Les campagnes des Halo de Bungie sont tellement au-dessus.  [h1]Les plus[/h1] • [u]Un des meilleurs gameplays de la série[/u]. Simple et efficace, les déplacements sont très dynamiques. Le grappin est une excellente addition. • [u]Multijoueur free-to-play et pas pay-to-win[/u]. • Multijoueur qui se révèle assez fun quand le niveau des alliés et des adversaires est équilibré. • La Forge.  [h1]Les moins[/h1] • [u]L'open world tue le rythme de la campagne[/u]. On a une carte avec plein d'icônes de bases à capturer… Rien n'est intéressant, on ratisse la carte comme dans un Ubi-like. • Vers la fin de la campagne l'open world c'est fini, [u]on a droit à un couloir de l'ennui à la [/u][i][u]Halo 4[/u][/i]. • [u]Un seul environnement dans la campagne[/u]. J'espère que vous aimez les montagnes avec des sapins. • [u]Narration soporifique[/u] qui ne va nulle part. • Beaucoup d'armes avec un feeling mauvais et/ou un manque d'intérêt au combat. L'équilibrage n'est pas au top. • [u]Multijoueur déserté[/u] à cause du manque catastrophique de contenu au lancement. Il y avait trop peu de maps et de modes de jeu. Du contenu est arrivé petit à petit mais trop tard beaucoup de joueurs sont déjà passés à autre chose. • Des désynchronisations en multijoueur. • Malgré qu'on paye plein tarif la campagne, [b]le multijoueur reste un élément typiquement free-to-play donc gavé de battle pass, défis quotidiens et autre cosmétiques bidons vendus une fortune[/b]. • Compte Microsoft nécessaire.  Le multijoueur est gratuit alors vous pouvez l'essayez pour voir mais[b] la campagne n'en vaut pas la peine[/b].",2024-06-23 17:58:22,8710,False
recommende,2,0.523809552192688,"Tout simplement génial pour ceux qui aiment les mondes ouverts !!! ... De quoi se perdre dans une autre matrice artificielle ... Une réussite totale, pour moi qui ai commencé à jouer à Halo en 2010 ! Enjoy !!! ;)",2024-11-05 19:06:51,11859,False
recommende,1,0.5115740895271301,"Très bon FPS, autant sur la partie multijoueur que sur la campagne solo. La campagne est très agréable surtout en coop. C'est un petit monde ouvert avec une map remplie d'objectifs secondaires variés mais il n'y en a pas de trop, à contrario de certains jeux Ubi par exemple. Le multi est stable et bien équilibré, les maps sont bien design, les armes ont un très bon feeling. Le time to kill est plutôt élevé ce qui laisse une certaine liberté d'action durant les fights.  Beaucoup de modes de jeu sont dispos en multijoueur : 12v12, 8v8, 4v4, 2v2, 4v4 ranked, 2v2 ranked et tout ça en Team death match, capture de drapeaux, capture de zones etc Les véhicules se pilotent bien et peuvent être décisifs pour gagner une partie. Je valide fort",2024-08-15 20:55:37,2416,False
not recommende,0,0.5,"le jeux en lui même, je ne peut rien en dire. Je n'ai pas dépassé la page de connexion, la touche @ de mon email ne veut pas s'affiché lorsque je la tape alors quelle fonctionne (fait 6 tentative sur toute les pages où il me demander mon adresse mail)",2025-04-28 13:50:14,17,False
recommende,0,0.5,"Bon jeux campagne simpas je déplore quand même quelques points noir, L'IA allié complétement con alors que dans  Halo : Reach ça percute bien plus (prise de véhicule, combat plus en passager) le faite que les armes amélioré ne puisse pas être recharger avec les munitions standarts ( alors que c'est la même arme !!!), véhicule térrestre se bloque sur un rien etc,  je recommande pour les fan de la licence mais sans plus dommage il y avait un bon potentiel on dirait un travail baclé surtout quand on as etait habituer a mieux par le passer. Niveau graphisme bof bof",2025-04-28 13:42:18,1210,False
not recommende,0,0.5,"Ratage complet. Gameplay gaché par des sacs à PV, cinématiques à rallonge à la narration ratée, open world inutile.",2025-04-11 19:14:03,1169,False
recommende,0,0.5,"un jeu que j'adore, mais suite a une faute de frappe de mon mail lors de la connexion, impossible de me connecter, impossible de modifié ou de changer le l'adresse mail. je ne peu plus jouer a ce jeu a cause d'un dysfonctionnement lors de la saisi de l'adresse mail.  je recommande le jeu,  mais je suis fou de rage contre ce souci",2024-05-24 18:33:42,2457,False
recommende,2,0.5454545617103577,"[h1] Halo en monde ouvert ? [/h1]  Grand fan de Halo depuis Halo:CE sur Xbox , je me suis toujours fait plaisir a parcourir les jeux , voir ou va Master Chief et ce qu'il est capable de faire pour encore sauver l'humanitée.   Et bien cette fois il est un peu décevant.   Le coté Monde ouvert n'est pas une mauvaise idée , mais je n'ai pas trouvé le jeu hyper bon la dedans. Les niveaux maitrisées laissent place a un monde ouvert un peu vide ou en tout cas pas bien intéréssant a découvrir.   Les armes sont pour moi un peu décevantes , rien de bien folichon qui m'a fait autant kiffé que la découverte du Needler , Epée a Energie , Marteau Antigrav ou autres Pistolet a plasma avec son attaque chargée.   Cependant , l'ajout du grappin , de la découverte de map en véhicules divers permettant enfin de kiffer les Hornet a leur juste valeur et l'ajout de camp pour recuperer des marines est appréciable.  Par contre les boss a 15000 HP on souffle , a voir comment faire pour rendre ca bien plus digeste.  En somme un jeu moyen , mais c'est Halo , et moi j'aime Halo , alors je met une note positive pour ceux qui comme moi sont bons publiques et fans de la licence",2024-07-25 12:30:23,1756,False
recommende,0,0.49295774102211,"Du Halo plus ouvert, plus moderne, plus beau et histoire sympathique ;)",2024-09-08 22:13:00,837,False
not recommende,0,0.49295774102211,"La campagne est splendide et mérite largement d'être faite. Le multijoueur est juste infâme, c'est le plus gros point noir de ce jeu. Certains modes de jeux sont abandonnés ou juste injouable.  Le plus dommage c'est comme dans tout les jeu gratuit, la boutique et le BP. Plus rien est déblocable au mérite, ça en est triste.",2024-06-30 23:41:15,7629,False
