tag,helpful,weighted_vote_score,comment,date,minutes,early_access
recommende,36,0.7894771099090576,"Vous voulez un jeu codé avec les pieds ? Avec des personnes qui ont 5 gros orteils ? Alors ce jeu est fait pour vous !!!  J'ai eu plus de plantage dans ce 2025 que dans tous les autres NBA 2K réunit, le jeu demande un disque SSD. Je me suis dit ben Nico t'es couillon installe sur le SSD (des fois je te jure je lis pas les petits Asterix et aussi Obélix en bas de la page). Je vous vois venir, est-ce que ça a changé quelque chose ? Ben non bien sur, si c'était si simple voyons.  Le mode ou je joue le plus (carrière) est donc buggé dès le retour aux vestiaires après un match, très souvent code d'erreur et plantage. Quand j'essaye d'aller dans la ville et que je sors des vestiaires plantage écran figé et donc ctrl Alt Sup pour venir à bout de ce moment magique ou le temps est en suspend l'espace d'un instant interminable. Perso j'espère toujours mais bien sur que j'espère pour rien j'oublie pas les 5 gros orteils du départ hein.  On aurait donc pu supprimer les vestiaires finalement, parce qu'ils apportent quoi à part des bugs, de la frustration et une haine envers les développeurs que je déteste un ptit peu plus chaque année, et je fais quoi chaque année ? Ben oui j'achète ce jeu, mais sérieux Nico t'es vraiment couillon tu donnes le baton pour te faire battre tu dois aimer ça dit donc !!! Ben non en plus j'aime pas ça, bref je m'écarte du sujet de départ, ce jeu, revenons à nos moutons s'il vous plait.  Je ne parlerai pas de la monnaie du jeu, les VC, qui portent finalement assez bien leur nom, VC parce que c'est vraiment pas joli joli. Vous vous demandez si je vais en parler hein ? Mais bien sur que je vais en parler tabernacle ! Faire évoluer votre perso au max vous prendra le temps de la sortie du prochain jeu si vous jouez régulièrement, sinon ben achetez une année sur deux c'est juste abusé d'année en année, ha la la sacré Mr 5 gros orteils, imaginez pour le prochain jeu il se coupe pas les ongles ça peut être pire.  Jouabilité le jeu est par contre vraiment pas mal tant que vous ne tirez pas lol Un jeu de basket ou tant qu'on tir pas c'est top. Celle la je l'avais pas vu venir, pourquoi les développeurs nous détestent autant ? Peut-être parce qu'on revient chaque année en bonne vache à lait. Enfin je mets ""nous"" je mets tout le monde dans le même sac comme sur BFM, tel un dermatologue avec un diplôme d’acupuncteur expert génétique à la TV, je m'égare encore je crois.   Je voulais dire à la base que même avec un timing quasi parfait vos tirs ne rentrerons que très rarement, que lors d'un lancer franc timing à 99% il ne rentre pas et derrière un autre à 65% de timing il rentre, logique tout ça dans le multivers, mais attends je suis pas dans le multivers, bigre ce jeu ne me respecte clairement pas, c'est l'histoire de ma vie, super réaliste en fait ce jeu.  Bref si vous aimez le basket regardez la NBA, sinon vous pouvez toujours essayer de rejoindre la communauté de moutons que nous sommes depuis quelques années maintenant, on se plaint, on achète, on se plaint, on achète encore, mais je vais quand même acheter le prochain des fois que, sur un malentendu ça peut conclure. Vous aurez en cadeau une sonnerie cri de pigeon offerte et une poignée de gravier (j'ai jamais su à quoi ça servait d'ailleurs ??).  Et puis cette année en plus on a le droit à la Next Gen, comme les consoles, en payant comme les consoles le même prix et ça c'était pas le cas jusqu'à maintenant, avant on avait le titre de pigeon platinium ++ avant lol  Un ptit pouce bleu parce que j'y passe malgré tout des heures, même si je suis déçu un ptit peu plus que l'année dernière et que l'année d'avant et que.....enfin vous avez compris.  Bon jeu à tous, et bon courage à ceux qui achètent le jeu ^^",2025-02-26 17:43:43,4660,False
not recommende,18,0.6627107262611389,"Bug, bug et encore des bugs Le jeu n’est pas du tout optimisé… Le problème c’est que 2K n’apprend pas de ses erreurs Entre les pertes de FPS en jeu et les freeze en nombre, le jeu est injouable  Il y a des bugs graphique, aussi des bugs où nous pouvons pas simuler lorsque notre joueur n’est pas sur le terrain, et d’autres que j’en passe… Tout ceci en 1h30 de jeux. De quoi ruiner une expérience de jeux. Va-t-on revoir un bon jeu NBA un jour ???",2024-09-04 18:37:35,81,False
not recommende,9,0.6534653306007385,"Optimisation nul, sinon mode carrière très cool, je joue pas au mode en ligne depuis 2k23 parcque je sais qu'avec les millions qu'ils ont ils peuvent pas rendre une partie fluide a part si t'as 1gb/s de co .",2025-01-20 19:42:08,4038,False
not recommende,7,0.6051281690597534,"Je suis une fois de plus déçus par 2K. C'est pas un jeu de basket c'est une machine a fric avec une qualité médiocre. Des graphismes daté, du lag omniprésent. La modélisation des visages, à part quelques stars et encore, est médiocre, on est obligé de jouer connecté pour avoir accès à tout le contenu. La qualité des PNJ dans le mode carrière mais pardon quel horreur. Pour 15€ sinon passer votre chemin.",2025-01-19 12:29:10,364,False
recommende,14,0.5938519239425659,Ok bon commençons j'ai l'habitude de bien cracher mon venin dans les avis surtout pour un truc que j'aime bien et la on parle de Basketball Bon déjà perso je trouve que c'est l'un des meilleur 2k depuis pwa certain diront 21 d'autre maybe 22 mais perso je dirait le 19 le jeu et cool smooth et sa fait longtemps qu'on attend la next gen qui elle nous met bien nouveau mode jeu moins de bug il y en a encore surtout en online mais en vrai c'est pas vraiment si chiant une fois la manip comprise Parlons Gameplay le jeu online comme offline et en vrai agréable a jouer le seul problème reste la commu beaucoup de joueur font des build pour spam carré ou faire des merde de 10 tonne parce-que il n'ont ni talent ni personnalité et qui n'ont toujour pas piger c'est quoi le basket fin bon niveau cheater en vrai sur pas mal de joueur j'en et et vue 2 et quelque un avec des macro mais bon encore des noob quoi sinon en vrai très agréable les dribble sont smooth et très propres le s jeu reste bon les steal pas si chiant sauf si spamming le jeu et bien fait merci next gen j'ai envie de dire les build sont bon et coûte pas si cher mais un peu quand même faut pas abuser sa reste 2k x) sinon je dirait je recommande pour ceux qui si jamais il on des bug de type mémoire vidéo et autre les gars mettez vos bios a jour MERDE surtout pour les grosse config faut arrêter de faire du mal a sont pc faîtes vos majs et en vrai niveau bug et on vraiment chill plein de choses a faire plein de batiment vêtement la next gen quoi la base mais bon pour un joueur pc old current gen c'est buenos je recommande en vrai on et bien servit sur ce 2k jdoit dire ENFIN,2024-09-05 15:37:07,1437,False
not recommende,3,0.5608568787574768,"J'aurai presque pu recommander le jeu car il est franchement bon par rapport aux 2K de ces dernières années. Beaucoup + skillé en Hall of Fame notamment sur le shoot avec un timing compliqué à respecter mais qui finalement augmente le réalisme.  GROS POINT NOIR QUI FAIT QUE JE NE RECOMMANDE PAS (Je parle uniquement pour le niveau de jeu Hall of Fame) : L'IA va vous écœurer du jeu littéralement. En mode carrière, l'intégralité des équipes contrôlé par l'IA réalise 70% de ses shoots à 3 points !!!!!!  2 shoots sur 3 rentre malgré des défenses hautes sur le porteur de balle. L'impression qu'un mec en C+ au shoot a 3 points à le niveau de Stephen Curry.  Cela fait perdre tout le réalisme dont j'ai parlé plus haut et écœure même du jeu.  Pitié, faites une mise à jour corrective du nombre de 3 points pris par match par l'IA ainsi que le taux de réussite aberrant.",2024-09-16 16:04:02,1338,False
not recommende,9,0.558394193649292,"Enfin la next gen sur pc mais bordel, des crashs de partout. En 2h, mon jeu a crash 7-8 fois en mode carrière alors que j'ai largement de quoi le faire tourner...  De plus, des temps de chargement de partout et qui durent une éternité. Le jeu est pour l'instant très mal opti, j'espère que 2k vont se bouger pour régler tous ces problèmes car le jeu a un vrai potentiel.",2024-09-06 13:27:35,811,False
not recommende,8,0.6027958393096924,"Très mitiger, malgré les changements le systèmes de shoot est je trouve très aléatoires, en ce début de jeux je ne recommande pas, à voir au fil du temps, mais pour le moment, pour ceux qui veulent l'acheter, attendez une promo ou autre car ne vaut pas le coup pour ce lancement.  L'IA est je trouve très stupides et codés avec le cul, les dribbles sont intéressant mais bon, on peux pas baser un jeux sur un aspect uniquement",2024-09-04 23:20:11,156,False
not recommende,10,0.645494818687439,"Comment est-ce possible d'avoir autant de lag ?  Peu importe le réglage, tout n'est que lag. Réglages moyens ? Lag. Changement du taux de rafraichissement de l'écran ? Lag.   Pourtant, mon PC fait facilement tourner des titres a priori bien plus gourmands !   Aussi, si c'est pour jouer avec un jeu sorti il y a quelques mois avec une qualité graphique moindre que le 2K23 que j'ai poncé, autant rester sur son ainé, car les lags sont omniprésents et la qualité graphique amoindrie par les tentatives de réduction de celui-ci !",2024-12-28 18:17:07,545,False
recommende,2,0.5454545617103577,"[spoiler] Trop de tryharder avec des builds meta comme jamais, mais sinon le jeu est top la next gen fais du bien",2024-11-09 16:37:36,21058,False
