tag,helpful,weighted_vote_score,comment,date,minutes,early_access
recommende,21,0.7331610918045044,"Attention !!! Ne faites pas comme moi, attendez la fin de vos partiels pour vous l'offrir...  que dire sur ce jeux hum ... vous savez quoi des annecdotes c'est bien aussi :   - On peut créer un empire capitalo-macroniste, fanatique religieux et agressivement xénophobe qui asservit les populations conquises en esclavage afin de financer une incroyable flotte de guerre, ce qui nous permet par la suite d'imposer nos belles valeurs à une communauté galactique  - le scientifique que j ai envoyé surveiller une race en phase de devenir civilisée est devenu amoureux d'une femme de cette race et a fait du chantage au suicide pour pas revenir bosser pour moi.... top  donc en résumé les mots 'purges', 'génocide', 'xénophobie' et 'esclavage' ne sont pas des gros mots mais de solides options à votre disposition have fun !",2024-10-11 12:19:07,8165,False
not recommende,26,0.6814340949058533,"J'ai beaucoup aimé ce jeu par le passé. Il y a énormément de bonnes idées et les parties peuvent être très fun.  Cependant il y a des défauts majeurs que je ne peux plus ignorer:  - Le prix et le nombre de DLC, aujourd'hui soit on prends un abonnement mensuel à 10 balles soit on prends tous les 3 mois un DLC à 20 balles, ça commence à faire particulièrement cher pour un jeu qui a 9 ans. Je pense en particulier aux personnes qui découvrent aujourd'hui le jeu et qui se voient bloquées par des dizaines de DLC qui devraient être inclus dans le jeu de base à ce stade, même si l'option de l'abonnement est une solution c'est temporaire.  - La qualité plus que discutable des dernières mises à jour. Le dernier DLC a ajouté une énorme quantité de bugs et mécaniques à moitié terminées, il y a même une quête principale d'une des nouvelles origines qui était IMPOSSIBLE à terminer, la quête se bloquait toute seule. (je sais pas si ce bug est corrigé aujourd'hui mais le fait qu'il n'ait pas été repéré pendant le développement en dit beaucoup sur le processus de développent des derniers DLC).  Et c'est sans parler des mécaniques purement absentes: on a eu de quoi modifier génétiquement de la faune spatiale et aussi de quoi en faire des zombies avec deux mécaniques différentes mais alors POURQUOI les deux mécaniques n’interagissent pas ensemble? Pourquoi on ne peut pas modifier les zombies alors que les textes de lore du jeu laissent penser que c'est clairement possible? Je ne vais pas faire le tour de chaque problèmes liés aux dernières mises à jour, ça serait trop long, mais vous comprenez où je veux en venir.  - Les problèmes d'optimisation. Là c'est simple, le jeu n'est pas bien optimisé, les fins de parties sont exponentiellement plus lentes à mesure que les différents empires se développent. La manière dont les IA gèrent leurs flottes par exemple est une énorme source de lag. Et ou je sais ce que vous allez me dire ""prends un meilleur pc"" sauf que le jeu recommende pas plus que 4go de RAM et une vielle carte graphique pour le faire tourner, c'est pas avec mes 16go de RAM, une RTX 3060 et un plutôt bon proco que c'est censé lagger comme ça. Le truc c'est que les recommendations sont fait selon ce que le jeu consomme en début de partie, pas en fin, ce qui et systématiquement différent dans les 4x, c'est le cas dans énormément de jeux similaires comme CIV par exemple. De plus ces problèmes s'ajoutent à un multijoueur très instable ce qui rend l’expérience très désagréable entre les lags et les désynchro.  - IA Générative. LE truc qui m'a décidé à ne plus jouer au jeu, tous les autres défauts j'aurais pu les accepter, râler un peu mais pas au point de ne plus jouer du tout, mais là je c'est ma limite absolue. Dans le dernier DLC les devs ont, selon la page de ce dernier, utilisés une IA générative pour les aider dans leur processus créatif. Les IA génératives sont un énorme tas de problèmes divers et variés sur tout un tas de sujet: écologie, droits humains, respect des artistes, colonialisme etc... Utiliser, même un tout petit peu, une IA générative volontairement c'est participer activement au problème, n'y voir qu'une excuse pour pondre du contenu payant plus rapidement encore (parce que oui, en 2024 il y a eu 3 DLC sur une très courte période, si vous vous demandiez comment ça a pu arriver vous savez maintenant). Les soucis techniques des dernières mises à jours sont liés à cette cadence accélérée de développement et l'utilisation d'IA générative est une excuse pour cut toujours plus de temps de développement. Donc même si vous en avez rien à foutre de cramer la planète ou de pisser sur les droits humains, même d'un point de vue purement égoïste le fait que ce jeu utilise de l'IA générative vous donne un contenu moins bon.  N'achetez pas ce jeu. Il y en a tout un tas d'autres qui font mieux ce que celui là prétend faire et qui respecte réellement ses joueurs.",2025-01-18 20:31:51,44247,False
recommende,12,0.6417037844657898,"Stellaris est un jeu où vous dirigez un empire galactique. Il mélange exploration, gestion, diplomatie et combats dans un univers de science-fiction. Voici ce qu'il faut savoir :  [h3]Ce que j'aime :[/h3]    [b]* Une galaxie à explorer :[/b] Le jeu donne un vrai sentiment d’aventure. Vous partez à la découverte de systèmes stellaires, rencontrez d’autres civilisations et vivez des événements surprenants.   [b] *  Création de votre propre civilisation :[/b]     Vous pouvez personnaliser votre empire : choisissez son espèce, son idéologie, son gouvernement, et même son histoire. Chaque partie est unique !    [b]* Histoires captivantes : [/b]     Des événements aléatoires et des crises (comme une invasion de machines ou une guerre interdimensionnelle) rendent le jeu vivant et imprévisible.     [b]* Évolutif : [/b]     Avec des mises à jour et des extensions régulières, le jeu s’améliore et s’enrichit constamment.     [b]* Diplomatie et alliances : [/b]     Vous pouvez former des pactes, créer une fédération galactique ou manipuler vos voisins pour dominer la galaxie.  [h3]Ce qui peut déplaire :[/h3]     [b]* Complexité : [/b]     Le jeu n’est pas simple à prendre en main, surtout pour les débutants. Il faut un peu de temps pour comprendre toutes les mécaniques.     [b]* DLC payants : [/b]     Le jeu de base est bon, mais une partie des meilleurs contenus (comme les mégastructures ou les espions) est vendue en extensions.    [b]* Phase tardive parfois longue : [/b]     Quand vous êtes très puissant, le jeu peut devenir un peu répétitif vers la fin.  [h3]En résumé :[/h3]  Stellaris est une aventure fascinante pour les fans de science-fiction et de stratégie. Si vous aimez construire un empire galactique tout en explorant l’inconnu, ce jeu est fait pour vous. Cependant, il demande de la patience pour bien le maîtriser.",2024-11-30 14:50:02,15955,False
not recommende,6,0.5719391703605652,"Très bien le jeu, mais le nombre de DLC et leurs prix est insupportable, ce qui as le don de rendre le jeu très inaccessible pour le grand publique.De plus, le jeu vanilla (sans dlc) est fade, pas assez pour réellement encouragé des joueurs à prendre des DLC. Baissez les prix de vos DLC !",2025-03-27 22:27:00,9666,False
recommende,3,0.5652173757553101,"tout ce que j'ai retenu du jeu :  Faire la guerre Explosé des planètes Gagner la guerre Asservir les populations Les exterminé   RECOMMENCER  trés bon jeu je recommande",2025-03-30 21:43:17,1918,False
recommende,3,0.5535714030265808,"Achetez le avec des DLC en soldes par contre (j'ai eu le jeu récemment, très sympa même si prise en main un peu difficile. Allez-y à tête reposée et prenez le temps de découvrir les mécaniques et de regarder quelques vidéos sur youtube)",2025-02-03 11:11:11,8630,False
recommende,2,0.5454545617103577,"Stellaris est une expérience de jeu de grande stratégie spatiale absolument captivante et une Immersion Profonde dans un Univers en Expansion Constante : Stellaris offre une liberté et une profondeur inégalées dans la création et la gestion de votre propre empire interstellaire. Dès le départ, vous êtes confronté à des choix cruciaux qui définiront l'idéologie, les forces et les faiblesses de votre civilisation naissante. L'exploration de la galaxie, la découverte de nouvelles planètes, de ressources précieuses et d'anomalies scientifiques fascinantes créent un sentiment d'émerveillement et de découverte constant. Une Rejouabilité Exceptionnelle : La variété des origines, des éthiques, des civismes et des formes de gouvernement disponibles garantit une rejouabilité phénoménale. Chaque nouvelle partie offre une expérience radicalement différente, vous incitant à explorer de nouvelles stratégies et à découvrir les innombrables possibilités offertes par le jeu. Les événements aléatoires et les crises de fin de partie ajoutent une couche d'imprévisibilité et de défi qui maintient l'intérêt sur le long terme. Un Système de Gestion Complexe et Gratifiant : La gestion de votre empire est à la fois complexe et extrêmement gratifiante. Vous devrez équilibrer l'économie, la recherche scientifique, la diplomatie, la construction de flottes spatiales et la gestion de votre population. La profondeur des systèmes de recherche et de personnalisation des vaisseaux offre une liberté stratégique impressionnante. Voir votre empire prospérer et surmonter les défis grâce à vos décisions est une source de satisfaction immense. Des Interactions Diplomatiques Riches et Dynamiques : La diplomatie dans Stellaris est bien plus qu'une simple formalité. Vous devrez nouer des alliances, former des fédérations, rivaliser avec d'autres empires, négocier des traités commerciaux et même déclarer des guerres. Les relations entre les empires évoluent en fonction de leurs idéologies, de leurs intérêts et de leurs actions, créant un paysage politique galactique vivant et imprévisible. Des Guerres Spatiales Épiques : Lorsque la diplomatie échoue, les affrontements spatiaux dans Stellaris sont spectaculaires et stratégiquement intenses. La conception et la personnalisation de vos flottes, le positionnement tactique de vos vaisseaux et l'utilisation de doctrines militaires appropriées sont essentiels pour remporter la victoire. Les batailles à grande échelle, impliquant des centaines de vaisseaux, sont un véritable plaisir visuel. Un Univers Vivant et en Constante Évolution : Grâce aux nombreux DLC et mises à jour régulières, Stellaris continue de s'enrichir avec de nouvelles mécaniques de jeu, de nouvelles factions, de nouvelles crises et de nouvelles possibilités narratives. Le jeu reste frais et passionnant, même après des centaines d'heures de jeu. Une Communauté Active et Créative : La communauté de Stellaris est vaste et passionnée. De nombreux mods créés par les joueurs ajoutent encore plus de contenu et de possibilités au jeu, prolongeant sa durée de vie et offrant des expériences uniques. En conclusion, Stellaris est un chef-d'œuvre de la grande stratégie spatiale. Il offre une liberté créative immense, une profondeur de gameplay impressionnante, une rejouabilité exceptionnelle et une immersion totale dans un univers riche et fascinant. C'est un jeu qui vous captivera pendant des centaines d'heures et qui vous donnera le sentiment de véritablement construire votre propre destinée parmi les étoiles. C'est un incontournable pour tout amateur de stratégie et de science-fiction.",2025-04-14 16:53:55,19263,False
recommende,5,0.5408415794372559,"[h1]Jeu incroyable mais qui peut paraître complexe pour les néophytes du genre.[/h1] Je conseille, [u]pour ceux qui souhaitent s'attaquer au jeu et qui n'ont jamais joué à un jeu du même genre[/u], de commencer avec la version [i]vanilla[/i] et de rajouter au fer et à mesure les différents DLCs car commencer avec tous les contenus additionnels, ça peut vite faire peur et décourager. [h2][b][u]Mais sinon super jeu ! Je le recommande vivement ! [/u][/b][/h2]",2024-06-20 21:17:41,1822,False
recommende,1,0.523809552192688,"Un jeu absolument immense. On y a tout ce qu'on demande pour un jeu de ce type : des possibilités infinies, de la personnalisation, de la complexité..., aucune partie de ressemble à la précédente.   Après quasiment un millier d'heures (c'est beaucoup) j'y retourne toujours avec beaucoup de plaisir. L'interface est très bien faite, les histoires sont intéressantes, gagner une partie est un vrai challenge. Je trouvais au début que les fins de parties se ressemblaient toutes mais les mises à jour ont corrigé ce problème, les fins de parties sont désormais prenantes et peuvent connaître des rebondissements. Je pense que c'est d'ailleurs une des forces principales du jeu : le scénario d'une partie est ramifié, il peut se passer des tas de choses et il faut parfois faire preuve de résilience. C'est super intéressant, on ne peut pas prévoir comment va se dérouler une partie et c'est vraiment un très bon point.   Il y a quand mêmes certaines critiques à formuler :  D'abord je trouve que le jeu est cher. Ok il est très qualitatif, mais le rapport qualité/prix des DLC n'est pas au rendez-vous. Je ne les trouve pas mauvais, mais ils valent sans doute moins que leur prix.  Ensuite, on voit beaucoup d'évaluations qui nous rappellent à quel point ce jeu peut rapidement se transformer en simulateur de crimes de guerre, et ces remarques sont vraies. A mon humble avis, ça devrait être plus compliqué et plus punitif d'être belliqueux (sanctions économiques, détestation des autres empires qui ont de vraies conséquences, sanctions diplomatiques autres qu'une simple fermeture des frontières...)  Ensuite le sentiment que l'IA triche. J'ai pas de preuves de ce que j'avance madame la juge, mais pour moi l'IA triche, surtout dans les difficultés les plus élevées, et c'est assez frustrant.   Voilà pour les pistes d'amélioration, j'en oublie sans doute des tas, mais ça reste selon moi un immense jeu. Ce jeu est un voyage, il est complet et complexe, il est joli, il capte votre attention sur des parties très longues (ce qui est un exploit) et il ne sent jamais le renfermé. J'ai eu la chance de faire des parties en ligne : c'est trop bien (un de mes clip twitch préféré c'est celui avec Steve, les connaisseurs auront la ref).   Si vous aimez l'espace et la stratégie, n'hésitez pas. Si vous n'avez pas le temps réfléchissez un peu plus par contre",2025-04-07 13:01:38,58743,False
recommende,2,0.523809552192688,"Un 4X très addictif, on n'a qu'une envie c'est de ne jamais s'arrêter d'y jouer.  Que vous soyez belliqueux ou juste un artisan de la paix, vous trouverez votre bonheur dans ce jeu à la rejouabilité infinie, surtout avec les différents DLC qui sortent encore en 2024 (ils valent vraiment la peine pas comme pour les Sims 4) Paradox a toujours fonctionné comme ça.   Dominer la galaxie est encore plus fun à plusieurs !!",2024-11-29 01:14:34,4443,False
