tag,helpful,weighted_vote_score,comment,date,minutes,early_access
recommende,25,0.7365855574607849,"C'est le seul jeu que j'ai fini a 100%, c'est le seul jeu avec lequel j'ai dépassé les 2000 heures de jeux. En écrivant ce message je suis à plus de 2600 heures. Je n'ai même pas jouer la totalité des seigneurs jouables. Ce jeu a une jouabilité quasiment infinie. Je ne pensais pas à 25 ans ressentir les frissons de la découverte comme jamais je n'avais vécu auparavant.  En clair, les Total War sont un incontournable des jeux de stratégie. Si vous êtes un adepte de ce type de jeu foncez les yeux fermés.  Warhammer c'est juste un univers héroïque fantasy type seigneur des anneaux dopés aux stéroïdes. Dans la plupart des jeux vous avez quelques factions différentes de l'ordre de 3 à 10. Ici il y a 24 factions différentes (Avec tous les DLC et jeux) allant de l'empire utilisant des techniques militaires classiques. (armes à feu cavalerie infanterie artillerie) aux hommes lézards (des lézards de deux mètres qui chevauchent des vélociraptors voire des T-Rex) passant par des roi des tombes, ogres, vampire, elfes nains, homme rats etc etc. C'est simple la grande majorité des monstres ou unités mythologiques le plus connus figurent dans le jeu. Chaque factions possèdent plus d'une vingtaine d'unités.. Sans grande redondance ce que personnellement je trouve incroyable.   Ah oui! En plus, il y a de la magie, avec pas moins de 31 domaines de magie différents chacun disposant d'une demie-douzaine de sorts.   Total War Warhammer 3 ?  c'est juste l'apogée d'une série de 3 jeux ( que vous devrez acheter si vous voulez toutes les factions)  qui regroupe toutes les races sur une carte immense du monde de Warhammer fantasy (je n'ai jamais conquis l’entièreté de la map)  votre but est d'écrasé l'autre. Vous avez une carte de campagne avec gestion de vos armés et de vos territoires. Puis (le plus intéressant) les batailles, celles ci ce déroulent en temps réel sur une carte ouverte ou bataille de siège. Vous devez déployer vos untiés, donner des ordres à celles ci en utilisant la topographie à votre avantages l'objectif est simple anéantir l'ennemi. Voilà le tableau de base. Vous répétez l'opération jusqu'à anéantir  le monde, le sauver ou le conquérir.  La mauvaise review générale est dû à des mauvais choix à la sortie du jeu. Les fans de Total War Warhammer sont des passionnés voir des fanatiques. (Le nombre de mods hallucinant témoigne de leur engagement.) De l'amour à la haine il n'y a qu'un pas. Cette époque est révolue CA a redressé la barre. Donc:  Achetez le n'hésitez pas. Je recommande comme aucun autre jeu.    J'en profite pour remercier tous les gens qui ont participé à la création de ce jeu et cet univers vous m'avez sauvé de la dépression. Merci.",2024-07-31 15:25:49,159024,False
not recommende,13,0.6254379153251648,"J’adore ce jeu. Le système de stratégie est cool, il y a plein de factions, et les campagnes durent longtemps. C’est le jeu parfait pour passer le temps (doux mes 1000h, oui, j’ai du temps à perdre).  Alors, pourquoi une mauvaise note malgré tout ce temps passé dessus ? Parce qu’il y a toujours un ****** de bug qui m’empêche de finir une partie ! Au début, le jeu tourne nickel, mais au bout de 150-200 tours, les bugs commencent à pleuvoir. L’IA de base est aussi complètement à la ramasse (genre l’IA qui, d’un coup, ne veut plus attaquer les villes et laisse toutes ses armées autour d’une de ses cités). Heureusement que des mods existent pour corriger ça, mais c’est quand même dingue que ce soit toujours aux joueurs de résoudre les bugs à la place des développeurs !",2025-02-21 12:30:29,66853,False
not recommende,9,0.5765629410743713,"J'ai encore jamais fait la moindre évaluation de jeux sur Steam ou autre plateforme.  Mais la j'en ai marre de creative assembly. L'ensemble de leur jeux ont deux gros défauts le path finding et l'IA.  Je joue à la série total war depuis Medieval 2 donc 2006, j'ai acheté l'ensemble de leur jeux depuis et à chaque fois, je me dis ""ils vont ameliorer l'IA et le path finding"" et en réalité non, ils en ont rien a foutre d'avoir une vrai IA et d'avoir un bon path finding.  Pourquoi je dis que l'IA est mauvaise, la réponse est simple. Lorsque tu augmentes la difficulté d'un jeu en  boostant l'économie et les dégats de l'IA, ce qui amene a des situation WTF. Car en jouant en très difficile tu te retrouves avec 3 armées de 20 au tour 15 alors que le gars n'a qu'une ville. Tu te poses la question comment il fait. Elle est ou l'intelligence des devs dans votre IA, nule part !!!  Quand on augmente la difficulté on aimerait que l'IA fasse des choses plus logique dans le choix des bâtiments, des mouvements de la vraie diplomatie pas augmenter leur économie de 300% et multiplier l'exp de leur unités par*5 et venir t'attaquer en faisant une coalition entre Kislev, les nains et les vampires, ce qui donne quand meme une alliance un peu bizarre quand on connait le lore de Warhammer haha.  Après le path finding, vous avez un régiment de 120 ou ils peuvent passer 20 par 20, le path finding fait passer votre régiment 1 par 1.  Et le pire c'est que je reviens, je passe beaucoup d'heure car putain à la base ce sont des bons jeux, mais leurs lacunes sur le développement de leur IA et de leur path finding se fait définitivement sentir car leur IA est digne d'une IA codé dans les années 2000 sans vraiment évoluer depuis et putain on est en 2024, on a plus le droit de faire ça.",2024-11-12 22:46:32,46580,False
recommende,8,0.6052631139755249,"Merci The Creative Assembly pour les travaux passés et à venir. Ils font vivre le jeu sur la durée, par des DLC payants évidemment, mais aussi une tonne de contenu gratuit. Aucun autre jeu Total War ne lui arrive à la cheville.     Total War Warhammer 40k pour le prochain ? ;)",2024-09-14 17:02:49,53973,False
recommende,4,0.554295003414154,"Total War: WARHAMMER III est une expérience absolument phénoménale et représente un sommet dans la franchise Total War et dans les adaptations de l'univers Warhammer Fantasy Battles. Voici une évaluation très positive de ce jeu exceptionnel : Un Conclusion Épique et Grandiose : Total War: WARHAMMER III parachève la trilogie de manière spectaculaire. L'échelle du jeu est immense, avec une carte de campagne tentaculaire et l'introduction de factions iconiques et attendues avec impatience, comme le Kislev, le Cathay, les Royaumes Ogres et les terrifiantes puissances du Chaos. Le récit de la campagne est captivant et offre une conclusion digne de ce nom à l'histoire commencée dans les précédents opus. Une Diversité de Factions Inégalée : Chaque faction dans WARHAMMER III est un chef-d'œuvre de conception. Elles offrent des styles de jeu radicalement différents, des mécaniques de campagne uniques et des unités magnifiquement réalisées et fidèles au lore de Warhammer. Que vous préfériez la discipline glaciale du Kislev, l'harmonie stratégique du Cathay, la brutalité des Royaumes Ogres ou la puissance démoniaque des légions du Chaos, vous trouverez forcément une faction qui vous passionnera pendant des centaines d'heures. Des Batailles Spectaculaires et Stratégiques : La série Total War est réputée pour ses batailles massives et tactiquement riches, et WARHAMMER III ne fait pas exception. Les affrontements sont plus épiques que jamais, avec des sorts dévastateurs, des monstres colossaux et des unités aux capacités uniques qui offrent une profondeur stratégique incroyable. Les sièges ont été améliorés, offrant de nouveaux défis et des opportunités tactiques. Une Immersion Profonde dans l'Univers Warhammer : Creative Assembly a une fois de plus démontré sa compréhension et son amour pour l'univers de Warhammer. L'attention portée aux détails dans la conception des unités, des héros, des sorts et de la carte de campagne est stupéfiante. Les fans de Warhammer se sentiront véritablement immergés dans le Vieux Monde et les Royaumes du Chaos. Des Améliorations Bienvenues : WARHAMMER III apporte des améliorations significatives à la formule Total War. L'interface utilisateur est plus intuitive, les options diplomatiques ont été enrichies, et de nouvelles mécaniques de campagne ajoutent une couche de complexité et d'intérêt supplémentaire. Le mode multijoueur est robuste et permet des affrontements épiques entre amis ou contre d'autres joueurs du monde entier. Un Potentiel de Rejouabilité Immense : Avec la diversité des factions, les différents scénarios de campagne et le mode multijoueur, la rejouabilité de Total War: WARHAMMER III est pratiquement infinie. Chaque nouvelle campagne offre une expérience unique et des défis différents. En résumé, Total War: WARHAMMER III est un triomphe. C'est un jeu de stratégie fantastique d'une ampleur et d'une qualité exceptionnelles, qui ravira les fans de la série Total War, les passionnés de l'univers Warhammer et tous ceux qui recherchent une expérience de jeu riche, immersive et stratégiquement profonde. C'est sans aucun doute l'un des meilleurs jeux de stratégie de ces dernières années et un incontournable pour tout amateur du genre.",2025-04-14 16:48:59,36984,False
not recommende,3,0.5464773178100586,"Extrêmement déçu. J'ai une machine de guerre et joue en ultra à tous les jeux les plus récents (dernièrement Space Marines 2 et Kingdom Come 2). Total War : Warhammer 3 crash sans arrêt et de façon totalement aléatoire.  J'ai passé dix heures à m'acharner et essayer de corriger les problèmes - le jeu en lui-même a l'air excellent... mais l'optimisation atroce le rend injouable.  J'ai demandé un remboursement, en espérant que ce soit acceptée en dépit des quelques heures jouées, non représentatives du temps réel passé à effectivement jouer au jeu.",2025-02-21 05:35:54,853,False
recommende,3,0.5454545617103577,"Un bon Total War qui nous plonge dans l'univers de Warhammer. Tout n'est pas parfait mais franchement je joue depuis quelques années à ce jeu et autres titre de CA et je ne compte pas m'arrêter de jouer à celui-là tant qu'il n'auront pas fait la suite ! Et le travail des moddeurs du jeu est tout simplement....formidable ! Merci à vous, merci à eux et bon jeu.",2024-12-27 17:04:18,102256,False
recommende,5,0.5833333134651184,"Très bon jeux! Si vous aimer les jeux de stratégie tour par tour complexe de conquête dans un monde imaginaire un peu similaire au saigneur des anneaux, Total War: Warhammer 3 est pour vous. Chaque 24 races fonctionnent différemment et on de différentes unités, alors chaque une offre une campagne différent. Une campagne complète dans le mode que tout le monde utilise, l'Empire immortel, demande normalement au dessus de 100 heures, mais il y a aussi une option de courte victoire qui prend environ 10 à 15 heures et/ou une option de longue victoire qui prend normalement au dessus de 60 heures. C'est a vous de voir si vous voulez conquérir le monde ou juste finir l'objectif pour une courte victoire. Dans mon cas, j'ai surtout jouer Grand Cathay et Tzeentch, donc mon opinion est surtout baser sur c'est 2 races-ci.",2024-09-15 21:26:52,15065,False
recommende,2,0.523809552192688,"Une fois encore, c'est un jeu d'une grande profondeur : gestion économique, diplomatique, recherche scientifique, combat, stratégie. Et chaque fraction a ses particularités, son terrain de prédilection. En changeant de fraction, on  a l'impression de jouer à un jeu différent. J'ai joué des centaines d'heures sans m'en lasser. Et que dire des graphismes toujours plus beaux. C'est un jeu de la série Total War que je suis depuis bientôt 20 ans sans jamais me lasser.",2024-12-27 16:10:35,5127,False
recommende,3,0.523809552192688,"Dans la veine des précédent, empire immortel est une campagne qui a vraiment beaucoup de contenu, encore plus avec les mods du workshop (même s'ils sont souvent cassés par les patchs, il faut attendre un peu pour qu'ils soient mis à jour). Achetez les DLCs en promo et seulement les factions que vous voulez jouer pour éviter le prix élevé, yes yes.",2024-10-01 09:55:20,26223,False
recommende,2,0.5106761455535889,"Le meilleur jeu de toute mon existence et j'ai 45 ans d'expérience des jeux vidéo sur consoles et pc. La quintessence du jeu de stratégie au tour par tour associée à une profondeur inégalable et inégalée puisque tous les seigneurs de warhammer I, warhammer II et warhammer III sont jouables plus tous les dlc que je vous recommande chaudement !",2025-04-09 23:04:06,16824,False
recommende,8,0.6100000143051147,"Le jeu est très bon, juste prévoyez d'y dépenser 500 € en DLC si vous êtes comme moi, je sais pas ce que je veux jouer.",2024-07-02 20:42:29,10811,False
not recommende,1,0.5061728358268738,"Mon premier warhammer. J'ai fait les médiévals et les romes. Quel déception ! La magie des héros et certaines unités d'artillerie surpuissantes prévalent sur la stratégie de combat. Quant à la campagne, les téléportations possibles d'armées ennemies entières rend impossible une réflexion globale sur l'extension.",2025-03-26 19:45:52,996,False
not recommende,6,0.5055176019668579,"trop de mises a jour qui cassent le jeux, chaques nouvelles races est plus petés que les precedentes, la raison ? l'argent les gars, on vend des DLC craqués pour forcer les joueurs a acheter",2024-08-21 03:46:00,19207,False
not recommende,4,0.5047619342803955,"Je ne comprends pas . C'est injouable . J'ai des milliers d'heures sur tous les total war et celui ci est clairement injouable voire meme; fait pour faire rager le joueur.   Les régiments meurent d'un seul coup. Sans raison. Les seigneurs ennemis sont intuables. Benny hill total war dès qu'on les poursuit. Les sort sont totalement  aléatoires . Les unité ne contre attaque pas il faut donner l'ordre (sur 60 régiments c'est pratique) les tirs sont aléatoires, les unités tirent quand elles le veulent.   Là je viens de faire une bataille Je la gagne les 12 fois mais n'ait plus assez de troupes pour l'assaut d'aprés .   Mon armée de renfort devrait pouvoir soutenir la defense mais  bizarement ne peux participer au combat alors que le tour d'avant elle etait presente. Du coup je perds la ville et miracle mon allié adoré reprends la ville au nez et a la barbe de mes deux armée qui arrivaient en renfort. Résultat je perds ma ville mes deux arméees sont à l'autre bout de la map ou evidement il n'y a plus personne. Je suis baisé et j'ai l'impression que le jeu se marre en me faisant un gros doigt. Comme si mes ennemis et mes alliés s'étaient mis d'accord pour me faire rager.  J'ai tout essayé les statistiques sont éclatées au sol, rien ne correspond: une unité avec vitesse de 120  poursuit une unité ennemie avec 30 de vitesse et ne la rattrape pas. Pareil pour les armures attaque def. Je viens de voir des guerriers du chaos etre mis en déroute par des gobelins .   Sur la carte de campagne les déplacement sont eux aussi aléatoires. Ce que l'on fait en un tour à un moment en necessite 3 à d'autres. Enfin je capte pas ils, ont pourri leur jeu pour nous en mettre plein la gueule. L'ia n 'est pas intelligente elle triche simplement, pour créer de la dificulté, ça se voit et c'est ultra lourd.  Et il y a du nouveau les archers ne tirent plus . Magnifique gw parfait Changez rien ... Enfin si je crois qu'il y a encore deux trois trucs qui marchent.",2025-02-02 16:52:47,17489,False
recommende,0,0.5,"étant passioné du jeux de figurine warhammer ,les graphisme, le lore,la geographie et les prsonnages sont extremment fidele",2025-05-03 09:22:08,91013,False
recommende,0,0.5,"Bon jeu, avec quelques changements je pense qui pourrait être fait au niveau de l'IA et des unités, sans quoi assez intéressant au niveau de la stratégie, mécaniques des factions qui diffèrent selon la faction du coup et bien d'autres choses. Mais il est selon moi urgent et je dis bien urgent de faire une refonte sur les Skaven qui ont beaucoup trop d'unités OP mais vraiment OP !!! Je suis en train de faire une partie et dès les 10 premiers tours leurs colonies sont maxées et ils ont des unités tiers 4/5 surtout que leurs unités sont beaucoup trop polyvalente et qu'il y a bien trop d'unités chez eux par rapport à des factions qui en ont trop peu face à eux !!!  Autre chose à changer, le fait que les factions vous sortent 3 voire 4 armées full dès le début de partie en ayant q'une province. Certaines factions sont quasiment impossible à battre et vous roule dessus trop facilement. Jouer en normal / facile devient même parfois une obligation selon la partie",2025-02-22 19:16:07,13955,False
recommende,0,0.5,"le Jeux de tout les Temps un riche univers apsolument incroyable et fabuleux au paysage magnifique et bataille merveilleuse Fantastique.",2025-01-09 01:14:46,23800,False
recommende,0,0.5,Trés bon jeu. Je le conseille il est complet a mes yeux il offre la stratégie les batailles épiques. Inlassable. Seule point Négatif L'Ia en Campagne a trop tendance a vouloirs tuez ou bléssé vos héros ce qui a mon goût est comparable a de l'anti-jeu surtout en fin de parti alors que malgrés son rangs de force trés élevée elle ne vous attaque pas alors qu'elle à la superioritée de terrain numérique ect... Sinon trés bon jeu.,2024-12-12 20:55:59,128793,False
